  Seq   Jmag    Hmag    Kmag    [3.6]   [4.5]   [5.8]   [8.0]   [24]   AKs    alpha   Cl   2M   Simbad   GLON                 GLAT                  RA2000              DEC2000              
  1     14.38   12.06   10.5    8.53    7.57    6.71    5.85    1.97   1.15   0.22    P    2M   Simbad   214.66782446085472   -19.939861988513172   85.67783333333333   -10.41925            
  2     ""      ""      ""      14.48   13.97   13.52   12.95   ""     ""     -1.08   D    2M   Simbad   214.41509670546668   -19.882619653457315   85.62729166666668   -10.179944444444446  
  3     ""      ""      ""      14.58   13.91   13.35   12.95   ""     ""     -0.97   D    2M   Simbad   214.4256240947258    -19.74645779840331    85.75662500000001   -10.130638888888885  
  4     ""      15.18   13.6    11.55   10.57   9.69    8.84    5.48   0.35   0.26    P    2M   Simbad   214.29892551017414   -19.910227666784177   85.55445833333334   -10.093027777777777  
  5     14.21   12.75   11.75   10.45   9.92    9.48    8.87    6.22   0.45   -1.04   D    2M   Simbad   214.3315267905468    -19.839868293060757   85.632375           -10.09061111111111   
  6     14.05   12.77   12.14   11.57   11.3    10.92   10.55   7.68   0.51   -1.64   D    2M   Simbad   214.31584063670843   -19.80445639177068    85.65845833333331   -10.06211111111111   
  7     12.82   11.84   11.44   10.98   10.78   10.33   9.29    5.79   0.3    -0.86   D    2M   Simbad   214.35577408882398   -19.72284102040899    85.74970833333333   -10.061111111111108  
  8     ""      14.09   13.49   12.7    12.44   12.03   ""      ""     0.27   ""      D    2M   Simbad   214.35465954195882   -19.722071241136952   85.74995833333332   -10.059833333333334  
  9     16.16   15.18   14.48   14.06   13.75   13.23   12.83   ""     0.07   -1.38   D    2M   Simbad   214.3506189011829    -19.730029701016825   85.741              -10.059805555555556  
  10    12.83   11.64   11.07   10.45   10.15   9.75    8.99    6.21   0.43   -1.15   D    2M   Simbad   214.3103686174654    -19.80623836933906    85.65458333333332   -10.058222222222225  
  11    13.5    11.92   11.14   10.42   10.19   9.87    9.17    5.14   0.77   -1.39   D    2M   Simbad   214.3210898481898    -19.77769485565307    85.68516666666666   -10.055111111111115  
  12    15.76   14.63   14.05   13.41   13.13   12.8    12.13   ""     0.35   -1.36   D    2M   Simbad   214.3268454687103    -19.74221373029204    85.72008333333332   -10.044805555555556  
  13    14.7    13.6    13.0    12.46   12.28   12.1    12.03   8.57   0.3    -2.33   D    2M   Simbad   214.3235092704934    -19.74176916736919    85.719125           -10.041777777777774  
  14    ""      15.92   14.62   13.93   13.23   12.38   11.25   7.31   0.59   0.25    FP   2M   Simbad   214.2374398569199    -19.911114328326633   85.52850000000002   -10.041166666666664  
  15    13.31   12.27   11.78   11.27   10.99   10.54   9.63    6.82   0.3    -0.94   D    2M   Simbad   214.24328714040107   -19.8884296823949     85.55170833333335   -10.036416666666666  
  16    ""      ""      10.15   9.65    9.45    8.26    6.54    3.93   ""     0.89    D    2M   Simbad   214.27927919308308   -19.804584367066283   85.643375           -10.031083333333337  
  17    10.24   9.34    8.47    7.14    6.78    6.3     5.3     1.94   0.0    -0.72   D    2M   Simbad   214.26662049493396   -19.82917955612732    85.615625           -10.030861111111117  
  18    13.29   12.49   12.1    11.8    11.7    11.58   11.38   7.17   0.06   -2.35   D    2M   Simbad   214.2621411573767    -19.835990822381028   85.60754166666666   -10.029972222222222  
  19    ""      ""      ""      14.0    13.26   12.72   12.54   7.24   ""     -1.17   FP   2M   Simbad   214.28715952217004   -19.78603152021093    85.663625           -10.029833333333332  
  20    10.18   9.18    8.59    7.42    6.86    6.28    5.67    2.89   0.18   -0.81   D    2M   Simbad   214.278663535615     -19.802175434100235   85.64533333333334   -10.02952777777778   
  21    16.24   15.18   14.42   13.75   13.5    ""      ""      ""     0.14   ""      D    2M   Simbad   214.26586368560467   -19.825300014141796   85.61887499999999   -10.02855555555556   
  22    ""      14.92   12.78   10.77   10.01   9.52    9.07    5.87   2.4    -0.92   D    2M   Simbad   214.26977055169112   -19.813465411470826   85.63133333333334   -10.026805555555558  
  23    15.49   12.61   10.49   7.93    7.07    6.25    5.26    1.87   1.45   0.22    P    2M   Simbad   214.26826286994185   -19.805436133329604   85.63808333333334   -10.022083333333336  
  24    ""      ""      13.74   9.8     8.02    6.55    5.31    1.24   ""     2.29    P    2M   Simbad   214.2680639220268    -19.801941472251233   85.64120833333335   -10.02041666666667   
  25    12.07   10.74   9.83    9.35    8.93    8.48    7.7     3.77   0.37   -0.93   D    2M   Simbad   214.2042444275442    -19.927012286235435   85.50033333333336   -10.019777777777778  
  26    13.72   11.31   10.02   9.28    9.0     8.69    8.46    5.34   1.45   -1.87   D    2M   Simbad   214.27438965760496   -19.785373394231062   85.659              -10.01869444444444   
  27    14.49   13.31   12.55   11.31   10.94   10.55   10.33   8.19   0.29   -1.69   D    2M   Simbad   214.28035088495798   -19.772639121800026   85.673125           -10.018305555555555  
  28    13.41   12.21   11.61   11.11   10.9    10.71   10.59   6.15   0.42   -2.23   D    2M   Simbad   214.32336430825333   -19.68507753499121    85.77108333333332   -10.017361111111114  
  29    13.4    11.99   11.36   10.9    10.65   10.33   9.5     4.46   0.66   -1.24   D    2M   Simbad   214.2700286831127    -19.7907839686651     85.65225000000001   -10.017305555555556  
  30    14.57   13.29   12.59   11.91   11.52   11.03   10.17   7.75   0.46   -0.83   D    2M   Simbad   214.22941221616108   -19.869073375079775   85.56379166666666   -10.016333333333334  
  31    ""      ""      14.74   12.4    11.18   10.19   9.39    4.65   ""     0.6     P    2M   Simbad   214.24480867355277   -19.837567954634274   85.59899999999999   -10.015916666666667  
  32    15.22   13.52   12.38   10.55   9.58    8.53    6.98    2.39   0.67   1.26    P    2M   Simbad   214.26241936979048   -19.799785840618004   85.64087500000002   -10.014694444444444  
  33    14.52   12.84   12.03   11.04   10.56   9.99    9.28    6.35   0.87   -0.8    D    2M   Simbad   214.22582397338073   -19.86452093001282    85.56649999999999   -10.011333333333333  
  34    15.85   14.39   13.5    12.73   12.45   12.17   11.82   9.09   0.54   -1.78   D    2M   Simbad   214.25215404647818   -19.81055460771515    85.62679166666666   -10.010583333333335  
  35    13.67   12.55   11.8    10.68   10.15   9.79    9.18    6.8    0.22   -1.14   D    2M   Simbad   214.24046601457624   -19.833087211859993   85.60133333333332   -10.010305555555552  
  36    16.28   14.46   13.46   12.27   11.84   11.44   10.95   8.29   0.93   -1.32   D    2M   Simbad   214.26711268327543   -19.777901860243517   85.66287500000001   -10.009305555555551  
  37    ""      ""      ""      13.95   13.11   12.22   11.17   6.65   ""     0.36    P    2M   Simbad   214.22908512398382   -19.844767223281476   85.58595833333334   -10.005638888888889  
  38    13.44   12.12   11.47   10.65   10.32   9.98    9.27    6.38   0.53   -1.25   D    2M   Simbad   214.31172945310402   -19.68056161875492    85.77045833333334   -10.005527777777775  
  39    15.37   14.62   14.07   13.46   13.12   12.58   11.79   ""     0.0    -0.89   D    2M   Simbad   214.25011968727534   -19.80110858877062    85.634625           -10.004805555555556  
  40    15.23   11.95   9.76    7.51    6.41    5.53    4.63    0.98   1.91   0.44    P    2M   Simbad   214.22287851502327   -19.84903733436108    85.5795             -10.002194444444445  
  41    16.67   15.28   14.48   13.28   12.74   12.35   11.82   8.46   0.53   -1.19   D    2M   Simbad   214.24620584414072   -19.79014183319352    85.64308333333334   -9.996777777777778   
  42    ""      ""      13.93   10.75   9.52    8.69    7.97    3.51   ""     0.3     P    2M   Simbad   214.21520473981602   -19.85129033295627    85.57429166666667   -9.996638888888885   
  43    ""      ""      ""      12.9    12.3    12.08   11.77   5.89   ""     -1.6    D    2M   Simbad   214.21183528954967   -19.85414691691428    85.57029166666666   -9.994999999999996   
  44    15.94   13.38   11.76   9.59    8.62    7.83    7.09    3.29   1.42   0.01    P    2M   Simbad   214.21273312091836   -19.851913303727795   85.57270833333334   -9.994805555555555   
  45    12.56   11.54   10.83   9.59    9.1     8.68    8.03    5.32   0.11   -1.06   D    2M   Simbad   214.2483085067064    -19.778908367071157   85.65424999999999   -9.99375             
  46    15.32   13.64   12.68   11.87   11.34   10.76   9.89    6.49   0.76   -0.56   D    2M   Simbad   214.24067710364088   -19.777908162246757   85.65204166666666   -9.986833333333337   
  47    9.97    8.96    8.23    7.47    7.14    6.85    6.34    3.34   0.09   -1.55   D    2M   Simbad   214.23476820475716   -19.778221977783705   85.64933333333332   -9.981944444444444   
  48    14.67   13.88   13.48   13.16   13.0    12.75   12.2    9.41   0.04   -1.72   D    2M   Simbad   214.24320376326625   -19.751192738505306   85.67758333333333   -9.977527777777775   
  49    13.0    11.71   11.05   10.23   9.75    9.16    8.27    4.87   0.5    -0.57   D    2M   Simbad   214.18263004482202   -19.87050085758535    85.54333333333335   -9.977194444444445   
  50    14.97   14.2    13.79   13.24   12.9    12.55   11.79   9.18   0.01   -1.19   D    2M   Simbad   214.26710466761753   -19.69400725656914    85.73983333333335   -9.973333333333333   
